date,time,mcp
01-01-2021,00:00,2301.03
01-01-2021,00:15,2300.12
01-01-2021,00:30,2298.1
01-01-2021,00:45,2243.24
01-01-2021,01:00,2131.71
01-01-2021,01:15,2106.41
01-01-2021,01:30,2100.3
01-01-2021,01:45,2050.43
01-01-2021,02:00,2015.74
01-01-2021,02:15,2015.56
01-01-2021,02:30,2000.5
01-01-2021,02:45,2000.97
01-01-2021,03:00,2009.21
01-01-2021,03:15,2009.08
01-01-2021,03:30,2015.15
01-01-2021,03:45,1999.85
01-01-2021,04:00,1999.28
01-01-2021,04:15,2050.54
01-01-2021,04:30,2015.89
01-01-2021,04:45,2089.19
01-01-2021,05:00,2301.15
01-01-2021,05:15,2303.05
01-01-2021,05:30,2302.09
01-01-2021,05:45,2300.27
01-01-2021,06:00,2718.06
01-01-2021,06:15,2718.91
01-01-2021,06:30,2809.56
01-01-2021,06:45,2962.71
01-01-2021,07:00,3089.69
01-01-2021,07:15,3711.7
01-01-2021,07:30,4500.46
01-01-2021,07:45,5700.17
01-01-2021,08:00,5700.48
01-01-2021,08:15,5700.96
01-01-2021,08:30,6000.87
01-01-2021,08:45,6000.87
01-01-2021,09:00,6900.07
01-01-2021,09:15,6000.99
01-01-2021,09:30,6000.81
01-01-2021,09:45,6000.73
01-01-2021,10:00,6000.11
01-01-2021,10:15,5900.12
01-01-2021,10:30,5000.78
01-01-2021,10:45,5000.55
01-01-2021,11:00,4500.61
01-01-2021,11:15,4500.7
01-01-2021,11:30,4500.72
01-01-2021,11:45,4500.23
01-01-2021,12:00,4000.1
01-01-2021,12:15,4000.68
01-01-2021,12:30,3747.28
01-01-2021,12:45,3660.88
01-01-2021,13:00,3033.6
01-01-2021,13:15,2989.86
01-01-2021,13:30,2989.74
01-01-2021,13:45,2989.28
01-01-2021,14:00,2989.57
01-01-2021,14:15,2962.33
01-01-2021,14:30,2942.99
01-01-2021,14:45,2900.69
01-01-2021,15:00,2809.91
01-01-2021,15:15,2809.97
01-01-2021,15:30,2962.76
01-01-2021,15:45,2989.41
01-01-2021,16:00,3058.74
01-01-2021,16:15,3199.54
01-01-2021,16:30,3620.32
