hour,purchase bid,sell bid,mcv,fsv,mcp
1.0,5879.425,14853.225,4574.5,4574.5,2285.6225
2.0,6260.4,17975.975,5217.875,5217.875,2097.2125
3.0,6269.075,19207.3,5314.525,5314.525,2008.1925
4.0,6422.875,19390.6,5471.725,5471.725,2008.3225
5.0,6941.5,19539.449999999997,5974.5,5974.5,2038.725
6.0,8169.799999999999,16516.35,6508.175,6508.175,2301.6400000000003
7.0,9776.75,13445.225,8663.05,8663.05,2802.31
8.0,13298.55,11159.475,10379.7,10379.7,4250.505
9.0,15181.15,9141.725,9045.725,9045.725,5850.795
10.0,14598.825,8427.95,8355.2,8355.2,6225.65
11.0,13879.225,8530.375,8434.375,8434.375,5475.389999999999
12.0,12321.35,8087.9,7714.9,7714.9,4500.565
13.0,9835.5,7878.1,7459.96,7459.96,3852.235
14.0,8235.875,9715.325,6846.299999999999,6846.299999999999,3000.62
15.0,8625.625,11769.575,7514.65,7514.65,2948.895
16.0,9658.35,12055.9,8582.275,8582.275,2893.0125
17.0,11324.375,10673.075,9662.45,9662.45,3399.06
18.0,10035.0,9939.55,8567.95,8567.95,3105.0299999999997
19.0,11129.9,10476.65,9863.39,9863.39,3751.865
20.0,9372.75,9522.7,8525.5,8525.5,3514.7174999999997
21.0,7480.025,9809.625,6762.925,6762.925,2870.5175
22.0,6189.275,10250.849999999999,5402.35,5402.35,2636.8125
23.0,5545.975,13116.324999999999,3791.875,3791.875,2320.3675000000003
24.0,5440.95,13937.975,3875.6,3875.6,2302.1549999999997
1.0,6668.575,15627.275,5257.025,5257.025,2328.335
2.0,6876.4,19183.725,5527.9,5527.9,2143.2974999999997
3.0,7045.8,20625.75,5820.825,5820.825,2024.5149999999999
4.0,7057.9,20520.449999999997,5910.975,5910.975,1942.6725000000001
5.0,7569.9,20066.6,6189.175,6189.175,2071.41
6.0,8796.075,17020.175,6729.875,6729.875,2394.485
7.0,10299.2,13430.3,8484.825,8484.825,2701.865
8.0,14205.849999999999,11822.05,10570.875,10570.875,4055.2475
9.0,15247.525,10754.0,10504.85,10504.85,6039.8925
10.0,14848.125,9297.7,9164.7,9164.7,6600.5599999999995
11.0,14806.925,8741.35,8598.35,8598.35,6325.4925
12.0,13810.85,8250.075,7939.5725,7939.5725,5582.63
13.0,11886.925,8502.95,7617.8225,7617.8225,4493.8375
14.0,9698.050000000001,10281.925,6910.5,6910.5,3230.6925
15.0,10154.175,12315.675,7603.175,7603.175,3002.95
16.0,11477.1,12662.925,8918.3,8918.3,3011.285
17.0,13047.1,10948.325,9828.75,9828.75,3862.8599999999997
18.0,12031.25,10168.95,9223.2,9223.2,3801.8175
19.0,12693.025,10088.925,9873.15,9873.15,4585.055
20.0,11360.45,9026.275,8771.475,8771.475,4367.7475
21.0,8324.75,9909.575,7461.9075,7461.9075,3199.2025
22.0,6505.375,10686.325,5653.7,5653.7,2691.77
23.0,6173.725,13768.45,4309.924999999999,4309.924999999999,2333.885
24.0,6159.025,15389.9,4851.9,4851.9,2313.7675
1.0,6338.3,18993.725,5604.925,5604.925,2005.8225
2.0,6608.75,22135.075,6012.75,6012.75,1886.445
3.0,6711.775,23442.475,6163.525,6163.525,1810.4225
4.0,6855.0,23830.55,6310.3,6310.3,1805.415
5.0,7315.5,23451.4,6606.125,6606.125,1953.6399999999999
6.0,8278.975,18843.725,7279.375,7279.375,2155.0175
7.0,9231.775,15612.375,8609.625,8609.625,2692.205
8.0,11014.025000000001,14171.85,10186.25,10186.25,3290.0025
9.0,12234.125,12928.2,10860.0175,10860.0175,3937.0775
10.0,12177.025,11324.425,10066.849999999999,10066.849999999999,5377.6125
11.0,11390.725,11612.3,9423.075,9423.075,3926.8175
12.0,10823.675,10960.7,8588.130000000001,8588.130000000001,3872.7775
13.0,9521.6,11429.4,7886.65,7886.65,3471.9725
14.0,7882.85,13831.0,7008.925,7008.925,2985.87
15.0,8292.725,16594.925,7518.455,7518.455,2764.9875
16.0,9263.05,16992.775,8461.154999999999,8461.154999999999,2820.09
17.0,10341.025,14031.75,9404.8975,9404.8975,3030.3075
18.0,7793.625,12305.5,7135.12,7135.12,2700.8225
19.0,8364.05,11689.6,7746.8724999999995,7746.8724999999995,3207.1875
20.0,7626.175,10676.7,7052.0075,7052.0075,3225.13
21.0,6262.9,11992.175,5696.35,5696.35,2612.0475
22.0,5364.325,12891.2,4741.45,4741.45,2516.01
23.0,4716.3,17055.525,3968.725,3968.725,2026.1175
24.0,5579.4,18676.325,4829.65,4829.65,2012.565
1.0,6134.125,19006.949999999997,5508.85,5508.85,1781.82
2.0,6126.5,21982.075,5569.9,5569.9,1653.4925
3.0,6275.6,23302.325,5835.2,5835.2,1577.5
4.0,6266.775,23587.85,5827.075,5827.075,1564.0725
5.0,7410.575,22798.15,6790.925,6790.925,1781.6725
6.0,8646.75,19900.7,7878.4875,7878.4875,2128.8325
7.0,9709.6,15512.025000000001,9198.475,9198.475,2692.3375
8.0,10956.225,13893.0,10310.5,10310.5,3015.7349999999997
9.0,11287.025,12190.2,10153.08,10153.0775,3655.5525
10.0,12107.625,10210.75,9706.05,9706.05,5721.66
11.0,11333.675,10736.1,9350.1225,9350.1225,4105.8825
12.0,10362.425,10680.275,8724.8,8724.8,3681.75
13.0,9797.9,9960.775,7964.275,7964.275,3770.9025
14.0,8798.125,11193.8,7711.9,7711.9,3094.3875
15.0,9188.35,13352.425,8307.35,8307.35,2964.545
16.0,10504.275,13589.275000000001,9590.6,9590.6,2992.34
17.0,11477.975,12382.1,10217.725,10217.725,3306.6275
18.0,10655.625,11356.325,9334.25,9334.25,3221.515
19.0,11138.4,10086.825,9302.724999999999,9302.724999999999,4377.9825
20.0,8505.9,9710.575,7793.95,7793.95,3209.395
21.0,6818.05,10269.625,6229.625,6229.625,2497.335
22.0,5845.45,11599.875,5243.75,5243.75,2526.5924999999997
23.0,4922.675,14273.9,4186.775,4186.775,2002.565
24.0,5746.4,16525.3,4962.125,4962.125,2007.3825
1.0,6498.65,17555.425,5737.55,5737.55,1933.455
2.0,6512.6,20846.325,5887.8375,5887.8375,1784.99
3.0,6476.8,21998.4,5928.35,5928.35,1603.94
4.0,6420.25,22422.75,5889.599999999999,5889.599999999999,1560.8975
5.0,7008.225,21463.375,6335.65,6335.65,1793.9225000000001
6.0,7897.925,18477.2,7082.725,7082.725,2057.9449999999997
7.0,9419.375,14498.85,8735.25,8735.25,2621.75
8.0,11355.25,12706.325,10371.4,10371.4,3243.515
9.0,11808.5,10983.25,10290.1525,10290.1525,3880.29
10.0,12413.8,10049.125,9775.9,9775.9,5725.9125
11.0,12666.525,10361.925,9878.8025,9878.8025,4770.71
12.0,12035.525,10436.45,9465.5225,9465.525,3950.955
13.0,11140.25,9689.275,8728.575,8728.575,4125.4725
14.0,10011.175,10712.475,8309.025,8309.025,3336.2
15.0,9509.55,12439.45,8260.11,8260.11,2924.5075
16.0,10672.825,12354.4,9236.5375,9236.5375,2941.3625
17.0,11684.625,11190.125,9832.1525,9832.15,3359.37
18.0,10898.45,10514.974999999999,9277.025,9277.025,3434.36
19.0,11508.5,10279.725,9959.0,9959.0,4169.5525
20.0,10844.675,9699.35,9207.2625,9207.2625,4067.3375
21.0,8468.525,10201.225,7512.9525,7512.9525,3153.9325
22.0,6004.275,11740.349999999999,5312.4,5312.4,2287.92
23.0,5279.075,13896.300000000001,4429.275,4429.275,2002.6100000000001
24.0,5516.275,16011.85,4762.825,4762.825,1999.875
1.0,6370.7,17495.075,5548.925,5548.925,1916.1975
2.0,6333.724999999999,21313.925,5690.375,5690.375,1754.9275
3.0,6352.975,22607.225,5748.7,5748.7,1647.0725
4.0,6285.025,22945.65,5712.075,5712.075,1560.38
5.0,6939.75,21913.05,6240.6,6240.6,1799.5575
6.0,7837.15,18961.25,7004.45,7004.45,1980.0575
7.0,9525.925,15377.0,8580.7,8580.7,2603.4425
8.0,12125.675,13263.95,10736.78,10736.78,3244.62
9.0,12104.55,10455.625,9993.97,9993.97,3980.815
10.0,12158.325,9338.375,9085.9,9085.9,5947.6025
11.0,12496.175,9663.275,9380.775,9380.775,5375.4275
12.0,12351.55,9866.75,9371.175,9371.1775,3992.56
13.0,11715.15,9174.625,8742.325,8742.325,4301.915
14.0,10608.925,10928.125,8556.630000000001,8556.630000000001,3234.55
15.0,11177.375,12923.275,9393.9725,9393.9725,2992.8549999999996
16.0,12212.25,13244.725,10344.7925,10344.7925,3004.5075
17.0,12903.55,11704.875,10398.73,10398.73,3614.8125
18.0,11766.475,10195.1,9428.775,9428.775,3743.2
19.0,11087.275,10040.5,9565.9775,9565.9725,3912.4674999999997
20.0,11133.775,9506.5,9114.095,9114.09,4242.2375
21.0,8375.125,10338.425,7483.265,7483.265,3117.455
22.0,6598.6,12062.675,5817.625,5817.625,2546.285
23.0,5719.75,13444.75,4758.625,4758.625,2007.4475
24.0,5632.525,15564.625,4726.825,4726.825,1999.6825
1.0,6116.225,16078.9,5273.475,5273.475,1955.8975
2.0,6113.5,19127.375,5479.8,5479.8,1785.0275
3.0,6172.475,20516.25,5566.425,5566.425,1751.43
4.0,6220.425,20735.925,5623.025,5623.025,1699.9375
5.0,6596.95,20249.375,5963.1,5963.1,1810.4925
6.0,7380.6,17824.5,6566.95,6566.95,2065.5550000000003
7.0,8516.95,14326.95,7764.175,7764.175,2620.44
8.0,10915.075,12498.35,9709.875,9709.875,3330.755
9.0,11450.55,9832.175,8980.8125,8980.8125,4635.325
10.0,11555.25,9731.6,8843.74,8843.74,5324.5325
11.0,10755.1,9807.2,8419.715,8419.717499999999,3903.0625
12.0,9862.574999999999,9931.45,7980.030000000001,7980.0275,3497.4875
13.0,9479.95,9725.825,7621.4525,7621.45,3617.5675
14.0,8440.25,11404.325,7458.2,7458.2,2910.49
15.0,8508.575,13471.75,7701.0,7701.0,2772.3025
16.0,9392.65,13656.05,8590.724999999999,8590.724999999999,2772.2475
17.0,10234.95,12253.825,9159.842499999999,9159.842499999999,2933.4275000000002
18.0,9374.275,10236.95,8087.675,8087.675,3138.325
19.0,11475.75,10357.575,9399.7875,9399.7875,4477.06
20.0,10261.625,10421.2,8939.9875,8939.9875,3954.7875
21.0,6690.425,10912.025,6071.8725,6071.8725,2397.4325
22.0,5364.65,11829.925000000001,4774.925,4774.925,2166.25
23.0,5369.525,13644.699999999999,4120.9,4120.9,2175.6775
24.0,5769.549999999999,15717.95,4820.775,4820.775,2055.315
1.0,5241.475,16191.525,4534.525,4534.525,1916.685
2.0,5399.75,19565.425,4902.475,4902.475,1741.39
3.0,5382.8,20957.75,4946.925,4946.925,1595.4625
4.0,5295.325,21025.65,4881.975,4881.975,1554.4375
5.0,5869.525,20289.75,5385.525,5385.525,1679.1799999999998
6.0,6760.3,17992.975,6044.025,6044.025,2033.335
7.0,7592.825,14667.275,7163.475,7163.475,2246.5925
8.0,10189.425,13133.825,9305.53,9305.53,3023.715
9.0,10709.5,11141.675,9157.175000000001,9157.1725,3859.94
10.0,11117.4,10505.0,8773.975,8773.975,4773.1025
11.0,10601.625,10557.4,8377.72,8377.72,3612.57
12.0,10289.225,9932.325,7921.4,7921.4,3642.7325
13.0,9555.425,10347.45,7822.625,7822.625,3394.9700000000003
14.0,8209.875,12336.7,7272.4425,7272.4425,2833.25
15.0,8049.8,14282.25,7222.5275,7222.5275,2671.465
16.0,8764.575,14326.975,7911.5975,7911.5975,2717.4275
17.0,9609.175,13152.775,8557.0175,8557.0175,2833.4425
18.0,9099.8,11192.4,7874.3775000000005,7874.375,3017.2425
19.0,11180.025,11452.875,9513.35,9513.35,4162.6775
20.0,10026.075,10958.65,8861.825,8861.825,3870.0
21.0,6431.925,10943.324999999999,5929.0,5929.0,2672.9075
22.0,4970.825,12269.875,4519.725,4519.725,2162.445
23.0,4741.675,15622.775,4131.5,4131.5,2002.1575
24.0,5204.475,17015.7,4616.325,4616.325,1997.1825000000001
1.0,6273.200000000001,16170.125,5388.15,5388.15,2058.0425
2.0,6404.675,19151.75,5748.55,5748.55,1898.5025
3.0,6261.2,20461.1,5714.775,5714.775,1712.2475
4.0,6174.425,20548.375,5685.35,5685.35,1659.2125
5.0,6758.875,19729.725,6142.425,6142.425,1821.355
6.0,7332.325,17265.25,6624.6,6624.6,2106.8475
7.0,7900.625,13859.6,7514.825,7514.825,2426.0924999999997
8.0,10521.5,12409.825,9796.025,9796.025,3258.795
9.0,10425.8,10310.575,9137.02,9137.02,3746.125
10.0,10454.4,10280.45,8870.9675,8870.965,3778.4049999999997
11.0,10561.775,11347.65,8805.0,8805.0,3549.9575
12.0,10237.35,11208.025000000001,8327.75,8327.75,3387.7925
13.0,9418.45,10652.95,7837.875,7837.875,3195.4825
14.0,8224.25,12075.775,7399.755,7399.755,2800.6675
15.0,8499.275000000001,13560.0,7765.7525,7765.7525,2663.955
16.0,9817.675,13584.6,8948.07,8948.07,2785.7200000000003
17.0,11220.325,12661.5,10002.875,10002.875,3044.4175
18.0,10384.3,10536.625,8939.92,8939.9175,3178.075
19.0,11730.625,11019.975,10239.0,10239.0,4082.5550000000003
20.0,10550.125,10471.025,9372.2075,9372.2075,3805.9325
21.0,7297.175,10238.974999999999,6686.725,6686.725,2682.62
22.0,5665.4,11103.025000000001,5143.425,5143.425,2411.8875000000003
23.0,5307.475,14024.125,4386.225,4386.225,2113.9275
24.0,5747.5,15291.95,4900.575,4900.575,2095.94
1.0,6433.325,15577.5,5460.4,5460.4,2106.0299999999997
2.0,6517.675,18871.725,5787.400000000001,5787.400000000001,1951.46
3.0,6471.825,20128.5,5905.025000000001,5905.025000000001,1804.0324999999998
4.0,6508.2,20337.875,5975.075,5975.075,1781.4175
5.0,6727.05,19288.1,6046.425,6046.425,1901.44
6.0,7203.275,16666.75,6515.05,6515.05,2057.2575
7.0,8160.125,13546.65,7619.225,7619.225,2508.4975
8.0,11586.0,13174.125,10636.07,10636.0725,3252.4625
9.0,11430.05,11367.6,9959.02,9959.02,3645.4375
10.0,11687.75,10655.925,9604.3025,9604.3025,4037.0325
11.0,10326.3,10663.6,8925.845,8925.8475,3229.4375
12.0,9311.35,9946.0,8134.15,8134.15,3117.465
13.0,8370.1,10115.975,7527.725,7527.725,2853.395
14.0,6453.2,11955.225,5977.075,5977.075,2531.14
15.0,6969.85,14466.775,6632.3,6632.3,2399.6625
16.0,8212.075,14257.425,7703.475,7703.475,2603.5525000000002
17.0,9297.6,13565.025,8576.46,8576.46,2799.2225
18.0,8498.95,11137.65,7796.625,7796.625,2846.04
19.0,9974.150000000001,11042.375,9206.8425,9206.845000000001,3494.075
20.0,8757.175,10526.725,8141.3475,8141.3475,3398.435
21.0,6635.375,10418.349999999999,6288.725,6288.725,2625.1775
22.0,5858.275,11961.75,5344.75,5344.75,2609.135
23.0,5757.8,14978.475,4458.45,4458.45,2205.245
24.0,6196.8,15756.975,5208.75,5208.75,2182.2675
1.0,6648.4,14806.45,4795.65,4795.65,2202.505
2.0,6685.075,17776.4,5559.55,5559.55,2092.4674999999997
3.0,6725.8,18482.2,5324.85,5324.85,2001.5774999999999
4.0,6694.15,18968.75,5636.849999999999,5636.849999999999,1997.415
5.0,7093.925,18376.95,5055.35,5055.35,2003.67
6.0,7554.1,15354.525,4893.6925,4893.6925,2307.1425
7.0,8635.95,12582.475,7234.5,7234.5,2727.5325000000003
8.0,12113.775000000001,11326.75,9907.275,9907.275,3498.9049999999997
9.0,13278.925,9814.15,9684.775,9684.775,4707.945
10.0,14173.375,8891.65,8879.15,8879.15,5862.885
11.0,13044.675,8537.5,8517.5,8517.5,4800.15
12.0,12000.025,7927.9,7893.5,7893.5,4400.25
13.0,11166.825,7962.525,7660.1475,7660.1475,4082.75
14.0,8791.3,10022.400000000001,6680.09,6680.09,2842.0975
15.0,9448.975,11827.625,7445.625,7445.625,2777.1375
16.0,11127.6,11724.525,8963.8,8963.8,2892.885
17.0,12335.55,10845.775,9627.7875,9627.7875,3440.83
18.0,11627.225,8825.7,8397.3,8397.3,3872.635
19.0,14601.3,8738.349999999999,8733.349999999999,8733.349999999999,5284.0125
20.0,14289.475,8045.325,8037.825,8037.825,4837.9275
21.0,9656.625,7612.025,6595.175,6595.175,3607.8125
22.0,6928.975,8419.4,5700.5,5700.5,2960.3875
23.0,6768.4,11081.775000000001,4321.55,4321.55,2597.945
24.0,7345.25,12487.375,3924.275,3924.275,2414.075
1.0,6893.75,14453.625,5568.7,5568.7,2340.8325
2.0,6972.075,17491.199999999997,5870.475,5870.475,2130.255
3.0,7055.025,18677.6,6069.95,6069.95,2019.6575
4.0,6911.349999999999,19014.4,6052.05,6052.05,1991.9099999999999
5.0,7268.5,18630.825,6200.2,6200.2,2112.3125
6.0,7378.6,15762.5,6260.475,6260.475,2319.37
7.0,9661.575,13057.025,8786.19,8786.1875,2802.5299999999997
8.0,12657.65,11739.25,10861.975,10861.975,4009.4
9.0,14067.0,9692.125,9635.625,9635.625,5462.925
10.0,14071.4,9395.2,9375.2,9375.2,6050.46
11.0,12821.125,9110.875,9035.225,9035.225,5075.3
12.0,10803.575,8768.3,7931.85,7931.85,3555.4075000000003
13.0,10351.275,9179.125,7786.7,7786.7,3522.42
14.0,8232.349999999999,11650.825,7023.225,7023.225,2789.2525
15.0,8626.05,13720.85,7567.6,7567.6,2695.315
16.0,10103.925,13346.7,8970.225,8970.225,2791.8525
17.0,10924.375,11992.075,9573.1,9573.1,2968.5475
18.0,10641.4,9909.525,8872.9,8872.9,3385.1425
19.0,12783.5,10018.725,9732.025000000001,9732.025000000001,4794.58
20.0,12714.25,9212.425,8989.425,8989.425,4845.4525
21.0,8423.225,9261.625,7054.625,7054.625,3050.3075
22.0,6533.2,10364.75,5604.45,5604.45,2589.59
23.0,5915.049999999999,12767.45,4639.575,4639.575,2311.0425
